id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,year,primary_position,per90_reliable,npxG_per90,goals_per90,xGChain_per90,xA_per90,key_passes_per90,primary_position_hierarchy,primary_position_minutes
6345,Jadon Sancho,26,2083,8,6.7544827070087194,11,8.243653137236834,52,67,0,0,F M S,Borussia Dortmund,7,5.996705586090684,20.981891989707947,10.95314784348011,bundesliga,2020,F,True,0.259,0.346,0.907,0.356,2.895,F,M
48,Jhon Córdoba,21,1545,7,6.986443366855383,1,1.3975802082568407,48,24,3,0,F S,Hertha Berlin,7,6.986443366855383,8.612784931436181,0.9991083163768052,bundesliga,2020,F,True,0.407,0.408,0.502,0.081,1.398,F,F
5240,Ondrej Duda,32,2574,7,6.291643397882581,4,3.376416535116732,49,42,6,1,F M,FC Cologne,4,3.260535371489823,9.246830257587137,5.571030620485544,bundesliga,2020,F,True,0.114,0.245,0.323,0.118,1.469,F,F
5249,Emil Forsberg,29,1566,7,5.906369206495583,4,5.503673082217574,35,37,0,0,F M S,RasenBallsport Leipzig,5,3.633116242475808,12.01655862107873,5.787226973101497,bundesliga,2020,F,True,0.209,0.402,0.691,0.316,2.126,F,F
5353,Josip Brekalo,29,1840,7,4.4268175438046455,3,3.947897493839264,47,37,1,0,F M S,Wolfsburg,7,4.4268175438046455,10.59905712865293,4.949749119579792,bundesliga,2020,F,True,0.217,0.342,0.518,0.193,1.81,F,M
5735,Jean-Philippe Mateta,15,1008,7,8.414153879508376,1,1.3461813041940331,28,12,2,0,F S,Mainz 05,6,7.656383937224746,9.505507020279763,1.2976232189685106,bundesliga,2020,F,True,0.684,0.625,0.849,0.12,1.071,F,F
7080,Matheus Cunha,27,2164,7,8.202691785991192,4,4.3022706946358085,70,47,9,0,F M S,Hertha Berlin,5,5.929601680487394,12.655638253316283,4.903623064979911,bundesliga,2020,F,True,0.247,0.291,0.526,0.179,1.955,F,M
7090,Krzysztof Piatek,32,1630,7,6.4053356274962425,1,0.9840233121067286,41,10,4,0,F S,Hertha Berlin,7,5.647558651864529,6.259493094868958,0.7841152036562562,bundesliga,2020,F,True,0.312,0.387,0.346,0.054,0.552,F,F
157,Daniel Caligiuri,33,2675,6,4.513692665845156,4,3.8451388962566857,40,49,5,0,D M S,Augsburg,4,2.240362297743559,7.66736881993711,4.832313146907836,bundesliga,2020,D,True,0.075,0.202,0.258,0.129,1.649,M,M
320,Jonas Hofmann,24,1836,6,4.521512384526432,11,5.912428947165608,25,56,1,0,F M S,Borussia M.Gladbach,3,2.248177315108478,6.704236038029194,1.8707362599670887,bundesliga,2020,F,True,0.11,0.294,0.329,0.29,2.745,F,M
337,Leroy Sané,32,1819,6,5.361089896410704,9,6.477919643744826,57,33,2,0,M S,Bayern Munich,6,5.361089896410704,20.60544104501605,9.6884706877172,bundesliga,2020,M,True,0.265,0.297,1.02,0.321,1.633,M,M
1275,Robin Quaison,28,1485,6,6.046889369376004,2,1.9227150157094,35,8,1,0,F M S,Mainz 05,5,5.289112162776291,11.021495144814253,4.826903821900487,bundesliga,2020,F,True,0.321,0.364,0.668,0.117,0.485,F,M
3300,Christopher Nkunku,28,1890,6,7.504059938713908,6,7.618338754400611,55,71,2,0,F M S,RasenBallsport Leipzig,6,7.504059938713908,17.105754286050797,7.340989783406258,bundesliga,2020,F,True,0.357,0.286,0.815,0.363,3.381,F,M
3310,Alassane Pléa,29,1804,6,5.505176402628422,1,3.8594892360270023,62,28,2,0,F M S,Borussia M.Gladbach,6,5.505176402628422,11.608914274722338,3.9902685787528753,bundesliga,2020,F,True,0.275,0.299,0.579,0.193,1.397,F,F
4247,Maximilian Philipp,24,1129,6,3.5855443216860294,2,0.8755121044814587,30,14,3,0,M S,Wolfsburg,6,3.5855443216860294,5.242055645212531,1.3832858875393867,bundesliga,2020,M,True,0.286,0.478,0.418,0.07,1.116,M,M
5222,Joel Pohjanpalo,20,868,6,6.772306889295578,0,0.9927614238113164,31,8,0,0,F S,"Bayer Leverkusen,Union Berlin",6,6.772306889295578,6.06635108590126,1.0101471785455942,bundesliga,2020,F,True,0.702,0.622,0.629,0.103,0.829,F,F
6098,Niclas Füllkrug,19,875,6,5.049042731523514,0,0.2071332037448883,35,5,1,0,F M S,Werder Bremen,4,3.5335707664489746,3.1787083223462105,1.0755869951099155,bundesliga,2020,F,True,0.363,0.617,0.327,0.021,0.514,F,F
6708,Bote Baku,34,2877,6,3.724283391609788,6,4.480605527758598,35,43,1,0,D M S,"Mainz 05,Wolfsburg",6,3.724283391609788,15.081191949546335,8.065021788701415,bundesliga,2020,D,True,0.117,0.188,0.472,0.14,1.345,M,M
7065,Florian Neuhaus,33,2636,6,3.0260267797857523,5,2.8867469150573015,48,23,9,0,M S,Borussia M.Gladbach,6,3.0260267797857523,13.019774235785007,9.189495597034693,bundesliga,2020,M,True,0.103,0.205,0.445,0.099,0.785,M,D
7074,Nicolás González,15,927,6,7.307773096486926,2,1.9631133861839771,50,12,5,0,F M S,VfB Stuttgart,3,4.276910213753581,6.833210181444883,1.5357225369662046,bundesliga,2020,F,True,0.415,0.583,0.663,0.191,1.165,F,F
7422,Christoph Baumgartner,31,2393,6,5.605290146544576,3,3.540220429189503,61,34,6,0,F M S,Hoffenheim,6,5.605290146544576,14.06340174935758,8.4560822006315,bundesliga,2020,F,True,0.211,0.226,0.529,0.133,1.279,F,M
7810,Ruben Vargas,30,1613,6,3.886008986271918,3,2.9152337135747075,38,25,2,1,F M S,Augsburg,6,3.886008986271918,7.051700482144952,1.281101660337299,bundesliga,2020,F,True,0.217,0.335,0.393,0.163,1.395,F,M
8418,Jamal Musiala,26,850,6,2.8830014541745186,1,0.6597437039017677,25,9,0,0,M S,Bayern Munich,6,2.8830014541745186,7.208409074693918,4.659118488430977,bundesliga,2020,M,True,0.305,0.635,0.763,0.07,0.953,M,M
9160,Matthew Hoppe,22,1315,6,3.4485140815377235,1,0.7646889947354794,20,8,3,0,F S,Schalke 04,6,3.4485140815377235,4.6318444237113,0.5462505016475916,bundesliga,2020,F,True,0.236,0.411,0.317,0.052,0.548,F,F
226,Kingsley Coman,29,1785,5,4.1304193660616875,10,5.677491904236376,52,45,1,0,M S,Bayern Munich,5,4.1304193660616875,14.61808417364955,6.595101764425635,bundesliga,2020,M,True,0.208,0.252,0.737,0.286,2.269,M,M
306,Florian Niederlechner,28,1776,5,6.169159272685647,4,2.51738851564005,47,13,2,1,F S,Augsburg,5,6.169159272685647,9.264836352318524,1.397705903276801,bundesliga,2020,F,True,0.313,0.253,0.47,0.128,0.659,F,F
335,Leon Goretzka,24,1707,5,3.741094371303916,5,3.0539645981043577,42,20,2,0,M S,Bayern Munich,5,3.741094371303916,14.009976096451284,9.270373517647386,bundesliga,2020,M,True,0.197,0.264,0.739,0.161,1.054,M,D
370,Marvin Friedrich,34,3060,5,1.343096498399973,1,1.326512597501278,25,14,1,0,D,Union Berlin,5,1.343096498399973,8.58821923378855,7.896771243773401,bundesliga,2020,D,True,0.04,0.147,0.253,0.039,0.412,D,D
373,Mats Hummels,33,2819,5,5.321490712463856,0,0.6973027121275663,30,13,6,0,D S,Borussia Dortmund,5,5.321490712463856,17.53026657178998,15.71328267082572,bundesliga,2020,D,True,0.17,0.16,0.56,0.022,0.415,D,D
3347,Ellyes Skhiri,32,2799,5,4.947999348863959,2,0.8226982979103923,18,17,5,0,M,FC Cologne,5,4.947999348863959,5.329231197014451,4.071600053459406,bundesliga,2020,M,True,0.159,0.161,0.171,0.026,0.547,M,D
3455,Raphael Guerreiro,27,2226,5,3.656880475580692,10,7.402729930356145,37,55,1,0,D M S,Borussia Dortmund,5,3.656880475580692,21.83067725598812,15.198640763759611,bundesliga,2020,D,True,0.148,0.202,0.883,0.299,2.224,M,D
5250,Yussuf Poulsen,27,1342,5,5.344542667269707,4,1.9948575086891651,44,14,1,0,F S,RasenBallsport Leipzig,5,5.344542667269707,7.555302873253822,2.9530248939990997,bundesliga,2020,F,True,0.358,0.335,0.507,0.134,0.939,F,F
5356,Breel Embolo,31,1424,5,7.532668881118298,2,1.8059892896562817,41,17,4,0,F M S,Borussia M.Gladbach,5,7.532668881118298,11.13139272853732,3.9691374003887177,bundesliga,2020,F,True,0.476,0.316,0.704,0.114,1.074,F,F
5706,Dodi Lukebakio,29,1887,5,7.118199795484543,5,2.7050752956420183,42,22,2,1,F M S,Hertha Berlin,3,5.602641761302948,10.63773694448173,3.690407996065914,bundesliga,2020,F,True,0.267,0.238,0.507,0.129,1.049,F,F
6145,Daichi Kamada,32,2383,5,6.00184902921319,12,6.787548180669546,38,55,3,0,D F M S,Eintracht Frankfurt,5,6.00184902921319,19.099796313792467,9.384855227544904,bundesliga,2020,D,True,0.227,0.189,0.721,0.256,2.077,F,M
6445,Elvis Rexhbecaj,30,1841,5,2.393365220166743,2,2.5105035211890936,29,26,4,0,M S,FC Cologne,5,2.393365220166743,4.607443891465664,1.1805642060935495,bundesliga,2020,M,True,0.117,0.244,0.225,0.123,1.271,M,M
6484,Renato Steffen,21,1594,5,4.376282874494791,4,3.0528148664161563,30,22,3,0,D M S,Wolfsburg,5,4.376282874494791,11.86967140249908,5.752101473510265,bundesliga,2020,D,True,0.247,0.282,0.67,0.172,1.242,M,M
