id,player_name,season_rows,seasons,minutes,games,goals,npg,xG,npxG,assists,xA,shots,key_passes,xGChain,xGBuildup,main_league,main_team,np_shots,np_goals,np_xg,np_residual,np_conversion,avg_shot_xg,pens_taken,pens_scored,position,pos_share,col_agreement,position_ambiguous,shots_per90,npg_per90,npxg_per90,xa_per90,kp_per90,xgchain_per90,xgbuildup_per90,np_residual_per90,shots_per90_pct,shots_per90_z,npg_per90_pct,npg_per90_z,npxg_per90_pct,npxg_per90_z,xa_per90_pct,xa_per90_z,kp_per90_pct,kp_per90_z,xgchain_per90_pct,xgchain_per90_z,xgbuildup_per90_pct,xgbuildup_per90_z,np_residual_per90_pct,np_residual_per90_z,avg_shot_xg_pct,avg_shot_xg_z,np_conversion_pct,np_conversion_z,shots_head,shots_leftfoot,shots_otherbodypart,shots_rightfoot,goals_head,goals_leftfoot,goals_otherbodypart,goals_rightfoot,residual_head,residual_leftfoot,residual_otherbodypart,residual_rightfoot,reliable_head,reliable_leftfoot,reliable_otherbodypart,reliable_rightfoot,left_share,footedness,weaker_foot_shots,weaker_foot_reliable,zone_edge_of_box,zone_outside_box,zone_six_yard_box,sit_directfreekick,sit_fromcorner,sit_openplay,sit_penalty,sit_setpiece,season_progression,peak_year,peak_residual,trough_year,trough_residual
12299,Bruno Méndez,1,1,1339.0,17.0,2.0,2.0,0.3977752877399325,0.3977752877399325,0.0,0.1248152693733573,8.0,4.0,1.7927039675414562,1.6345273982733488,la_liga,Granada,8.0,2.0,0.3977752840146418,1.6,0.25,0.0497,0.0,0.0,D,1.0,1.0,False,0.5377,0.1344,0.0267,0.0084,0.2689,0.1205,0.1099,0.1075,61.7,0.148,98.0,2.603,30.0,-0.649,15.2,-0.814,46.7,-0.422,8.7,-1.092,10.7,-1.029,99.8,4.166,16.7,-0.878,96.4,2.211,3,1,0,4,0,1,0,1,-0.18,0.97,,0.81,False,False,False,False,0.2,right,1,False,0.25,0.0,0.75,0.0,0.375,0.375,0.0,0.25,2023: +1.6,2023.0,1.6,2023.0,1.6
10850,Rodrigo Zalazar,1,1,1338.0,22.0,1.0,1.0,3.0480029303580523,3.0480029303580523,6.0,3.818176798522472,38.0,35.0,5.541506182402372,2.16299463622272,bundesliga,Schalke 04,38.0,1.0,3.0480029163882123,-2.05,0.0263,0.0802,0.0,0.0,F,1.0,1.0,False,2.5561,0.0673,0.205,0.2568,2.3543,0.3727,0.1455,-0.1379,74.7,0.591,8.1,-1.226,38.8,-0.467,91.7,1.486,96.7,2.193,22.5,-0.776,41.6,-0.384,7.9,-1.386,14.2,-1.038,4.0,-1.65,5,1,0,32,0,0,0,1,-0.39,-0.09,,-1.57,False,False,False,True,0.03,right,1,False,0.526,0.079,0.395,0.263,0.053,0.658,0.0,0.026,2022: -2.0,2022.0,-2.05,2022.0,-2.05
10830,Jean Négoce,3,3,1337.0,42.0,2.0,2.0,2.1990276668220754,2.1990276668220754,3.0,2.5453631784766912,14.0,23.0,8.688829556107521,5.054901450872421,bundesliga,Eintracht Frankfurt,14.0,2.0,2.199027629569172,-0.2,0.1429,0.1571,0.0,0.0,M,0.81,1.0,False,0.9424,0.1346,0.148,0.1713,1.5482,0.5849,0.3403,-0.0135,52.5,-0.116,83.5,0.798,87.0,0.985,87.0,1.095,86.7,1.1,89.9,1.283,82.3,0.729,44.9,-0.108,97.1,2.248,91.3,1.346,1,3,0,10,0,2,0,0,-0.07,0.71,,-0.84,False,False,False,False,0.231,right,3,False,0.429,0.0,0.571,0.0,0.214,0.786,0.0,0.0,2024: +0.2,2024.0,0.22,2024.0,0.22
12857,Daniel Mosquera,1,1,1334.0,35.0,5.0,5.0,7.168538000434637,7.168538000434637,1.0,1.859255077317357,57.0,12.0,10.489193508401511,3.695483503863215,serie_a,Verona,57.0,5.0,7.168537954799829,-2.17,0.0877,0.1258,0.0,0.0,F,1.0,1.0,False,3.8456,0.3373,0.4836,0.1254,0.8096,0.7077,0.2493,-0.1464,98.0,2.407,77.1,0.642,91.8,1.526,42.6,-0.324,18.8,-0.866,87.7,1.115,78.1,0.719,6.8,-1.491,54.5,0.05,33.8,-0.458,15,10,1,31,0,0,1,4,-1.04,-0.98,0.41,-0.56,False,False,False,True,0.244,right,10,False,0.175,0.018,0.807,0.0,0.14,0.807,0.0,0.053,2024: -2.2,2024.0,-2.17,2024.0,-2.17
12851,Emmanuel Biumla,1,1,1334.0,17.0,1.0,1.0,0.964099989272654,0.964099989272654,0.0,0.0368436053395271,4.0,1.0,1.810768922790885,1.7957943882793188,ligue_1,Angers,4.0,1.0,0.9640999818220733,0.04,0.25,0.241,0.0,0.0,D,1.0,1.0,False,0.2699,0.0675,0.065,0.0025,0.0675,0.1222,0.1212,0.0027,16.9,-0.894,81.4,0.784,78.0,0.633,4.0,-0.943,4.7,-0.933,9.2,-1.079,13.9,-0.93,71.7,0.367,98.5,2.782,96.4,2.211,3,0,0,1,1,0,0,0,0.05,,,-0.01,False,False,False,False,0.0,right,0,False,0.25,0.0,0.75,0.0,0.5,0.25,0.0,0.25,2024: +0.0,2024.0,0.04,2024.0,0.04
2519,Tejero,2,2,1334.0,30.0,1.0,1.0,0.7009639786556363,0.7009639786556363,4.0,3.4442311096936464,19.0,35.0,4.628718847408891,2.6908084079623227,la_liga,Espanyol,19.0,1.0,0.7009639823809256,0.3,0.0526,0.0369,0.0,0.0,F,0.92,0.08020989505247376,True,1.2819,0.0675,0.0473,0.2324,2.3613,0.3123,0.1815,0.0202,11.5,-1.203,8.2,-1.225,1.3,-1.595,88.0,1.15,97.0,2.207,10.5,-1.117,58.3,-0.001,75.4,0.568,0.5,-2.071,10.8,-1.14,0,3,0,16,0,0,0,1,,-0.07,,0.37,False,False,False,False,0.158,right,3,False,0.737,0.105,0.158,0.316,0.158,0.526,0.0,0.0,2024: +0.3,2024.0,0.33,2024.0,0.33
12965,Bence Dárdai,1,1,1333.0,21.0,1.0,1.0,1.1589803658425808,1.1589803658425808,1.0,1.495081041008234,11.0,11.0,3.533677311614156,1.5043751318007708,bundesliga,Wolfsburg,11.0,1.0,1.1589803714305156,-0.16,0.0909,0.1054,0.0,0.0,M,1.0,1.0,False,0.7427,0.0675,0.0783,0.1009,0.7427,0.2386,0.1016,-0.0108,36.9,-0.452,59.0,-0.068,60.2,-0.047,59.3,0.043,38.7,-0.432,22.1,-0.758,5.2,-1.222,48.5,-0.047,80.8,0.804,72.3,0.433,2,1,0,8,0,0,0,1,-0.2,-0.4,,0.44,False,False,False,False,0.111,right,1,False,0.364,0.0,0.636,0.0,0.182,0.818,0.0,0.0,2024: -0.2,2024.0,-0.16,2024.0,-0.16
6130,Daniel Bessa,2,2,1330.0,42.0,1.0,1.0,1.5362215070053933,1.5362215070053933,3.0,2.791855700314045,18.0,26.0,8.076928719878197,4.31650385633111,serie_a,Verona,18.0,1.0,1.5362220285460344,-0.54,0.0556,0.0853,0.0,0.0,M,1.0,1.0,False,1.218,0.0677,0.104,0.1889,1.7594,0.5466,0.2921,-0.0365,71.0,0.347,59.1,-0.065,74.1,0.334,90.5,1.358,91.8,1.501,86.5,1.057,71.8,0.335,20.4,-0.625,65.9,0.242,45.0,-0.187,0,1,0,17,0,0,0,1,,-0.24,,-0.29,False,False,False,False,0.056,right,1,False,0.667,0.0,0.333,0.0,0.167,0.833,0.0,0.0,2020: -1.2 -> 2021: +0.7,2021.0,0.69,2020.0,-1.22
8263,Javi Martínez,3,3,1328.0,40.0,2.0,2.0,1.5752247711643577,1.5752247711643577,2.0,1.048125077970326,13.0,17.0,5.52766381110996,3.2220256170257926,la_liga,Osasuna,13.0,2.0,1.575224881060421,0.42,0.1538,0.1212,0.0,0.0,M,0.646,1.0,True,0.881,0.1355,0.1068,0.071,1.1521,0.3746,0.2184,0.0285,48.0,-0.219,83.6,0.809,75.7,0.375,40.8,-0.403,69.9,0.347,60.1,0.043,46.0,-0.267,85.2,0.837,88.7,1.245,93.0,1.538,1,2,0,10,0,0,0,2,-0.01,-0.08,,0.51,False,False,False,False,0.167,right,2,False,0.462,0.0,0.538,0.0,0.0,0.846,0.0,0.154,2020: +0.2 -> 2021: +0.2,2020.0,0.23,2021.0,0.2
4403,Mehdi Abeid,1,1,1326.0,18.0,0.0,0.0,0.829635102301836,0.829635102301836,0.0,0.5261523053050041,20.0,12.0,3.500890541821718,2.766404581256211,ligue_1,Nantes,20.0,0.0,0.8296361910179247,-0.83,0.0,0.0415,0.0,0.0,M,1.0,0.0,True,1.3575,0.0,0.0563,0.0357,0.8145,0.2376,0.1878,-0.0563,77.6,0.582,11.0,-0.938,43.6,-0.372,14.9,-0.931,45.3,-0.295,21.7,-0.764,34.2,-0.517,8.6,-1.071,14.8,-0.982,11.0,-1.163,0,4,0,16,0,0,0,0,,-0.2,,-0.63,False,False,False,False,0.2,right,4,False,0.7,0.1,0.2,0.05,0.15,0.8,0.0,0.0,2020: -0.8,2020.0,-0.83,2020.0,-0.83
